
time,ax,ay,az,wx,wy,wz,
0.404,-0.05,0.06,-0.29,0.01,0.14,0.02,
0.404,-0.08,0.09,-0.33,0.01,0.14,0.02,
0.404,-0.08,0.09,-0.33,0.00,0.16,0.02,
0.405,-0.08,0.09,-0.33,-0.00,0.18,0.01,
0.405,-0.13,0.06,-0.38,-0.00,0.18,0.01,
0.405,-0.13,0.06,-0.38,-0.01,0.20,0.01,
0.406,-0.16,0.12,-0.37,-0.01,0.20,0.01,
0.406,-0.16,0.12,-0.37,-0.01,0.20,0.01,
0.406,-0.22,0.12,-0.28,-0.01,0.20,0.01,
0.407,-0.25,0.10,-0.15,-0.01,0.20,0.01,
0.407,-0.25,0.10,-0.15,-0.01,0.17,0.01,
0.407,-0.30,0.12,-0.07,-0.01,0.17,0.01,
0.408,-0.30,0.12,-0.07,-0.01,0.13,0.01,
0.408,-0.24,0.14,-0.04,-0.01,0.13,0.01,
0.408,-0.24,0.14,-0.04,-0.01,0.10,0.01,
0.409,-0.15,0.15,-0.06,-0.01,0.10,0.01,
0.409,-0.15,0.15,-0.06,-0.00,0.06,0.02,
0.409,-0.15,0.15,-0.06,-0.00,0.04,0.02,
0.41,-0.10,0.12,-0.12,-0.00,0.04,0.02,
0.41,-0.10,0.12,-0.12,0.00,0.04,0.02,
0.41,-0.04,0.08,-0.16,0.00,0.04,0.02,
0.411,-0.04,0.08,-0.16,0.00,0.04,0.02,
0.411,-0.03,0.09,-0.23,0.00,0.04,0.02,
0.411,-0.03,0.09,-0.23,0.00,0.05,0.01,
0.412,-0.01,0.07,-0.27,0.00,0.05,0.01,
0.419,-0.07,0.07,-0.31,0.00,0.05,0.01,
0.419,-0.07,0.07,-0.31,0.00,0.06,0.01,
0.425,-0.15,0.08,-0.26,0.00,0.06,0.01,
0.425,-0.15,0.08,-0.26,0.00,0.06,0.01,
0.426,-0.15,0.11,-0.25,0.00,0.06,0.01,
0.426,-0.15,0.11,-0.25,0.00,0.04,0.01,
0.436,-0.15,0.11,-0.25,0.01,0.02,0.01,
0.436,-0.12,0.12,-0.22,0.01,0.02,0.01,
0.437,-0.12,0.12,-0.22,0.01,0.01,0.02,
0.437,-0.07,0.10,-0.21,0.01,0.01,0.02,
0.441,-0.09,0.07,-0.18,0.01,0.01,0.02,
0.442,-0.09,0.07,-0.18,0.01,0.02,0.02,
0.473,-0.09,0.07,-0.18,0.01,0.02,0.02,
0.473,-0.05,0.06,-0.22,0.01,0.02,0.02,
0.474,-0.05,0.06,-0.22,0.01,0.02,0.03,
0.474,-0.08,0.06,-0.22,0.01,0.02,0.03,
0.475,-0.08,0.06,-0.21,0.01,0.02,0.03,
0.475,-0.08,0.06,-0.21,0.01,0.03,0.02,
0.475,-0.08,0.06,-0.21,0.00,0.03,0.03,
0.476,-0.11,0.10,-0.24,0.00,0.03,0.03,
0.476,-0.11,0.12,-0.24,0.00,0.03,0.03,
0.476,-0.11,0.12,-0.24,-0.00,0.03,0.03,
0.477,-0.07,0.11,-0.26,-0.00,0.03,0.03,
0.477,-0.07,0.11,-0.26,-0.01,0.03,0.03,
0.478,-0.07,0.11,-0.26,-0.02,0.03,0.02,
0.478,-0.04,0.11,-0.24,-0.02,0.03,0.02,
0.497,-0.05,0.07,-0.22,-0.02,0.03,0.02,
0.498,-0.05,0.07,-0.22,-0.03,0.03,0.02,
0.526,-0.05,0.07,-0.22,-0.04,0.04,0.02,
0.526,-0.04,0.07,-0.22,-0.04,0.04,0.02,
0.526,-0.04,0.05,-0.20,-0.04,0.04,0.02,
0.527,-0.04,0.05,-0.20,-0.05,0.04,0.02,
0.528,-0.09,0.05,-0.16,-0.05,0.04,0.02,
0.528,-0.09,0.05,-0.16,-0.05,0.05,0.02,
0.529,-0.09,0.05,-0.16,-0.06,0.06,0.02,
0.529,-0.13,0.03,-0.15,-0.06,0.06,0.02,
0.53,-0.13,0.03,-0.15,-0.06,0.05,0.02,
0.53,-0.09,0.06,-0.16,-0.06,0.05,0.02,
0.531,-0.08,0.05,-0.16,-0.06,0.05,0.02,
0.531,-0.08,0.05,-0.16,-0.06,0.04,0.02,
0.531,-0.06,0.02,-0.21,-0.06,0.04,0.02,
0.532,-0.06,0.02,-0.21,-0.06,0.03,0.02,
0.532,-0.08,0.04,-0.21,-0.06,0.03,0.02,
0.533,-0.08,0.04,-0.21,-0.06,0.03,0.02,
0.533,-0.08,0.04,-0.21,-0.05,0.04,0.02,
0.534,-0.15,0.01,-0.26,-0.05,0.04,0.02,
0.534,-0.15,0.01,-0.26,-0.06,0.04,0.02,
0.535,-0.19,0.02,-0.23,-0.06,0.04,0.02,
0.535,-0.19,0.02,-0.22,-0.06,0.04,0.02,
0.535,-0.19,0.02,-0.22,-0.06,0.03,0.02,
0.551,-0.21,0.02,-0.19,-0.06,0.03,0.02,
0.552,-0.21,0.02,-0.19,-0.05,0.03,0.03,
0.552,-0.17,0.03,-0.15,-0.05,0.03,0.03,
0.553,-0.17,0.03,-0.15,-0.05,0.01,0.03,
0.553,-0.17,0.03,-0.15,-0.05,0.00,0.03,
0.554,-0.10,0.03,-0.14,-0.05,0.00,0.03,
0.554,-0.10,0.03,-0.14,-0.05,-0.01,0.03,
0.554,-0.07,0.05,-0.11,-0.05,-0.01,0.03,
1.105,-0.07,0.05,-0.11,-0.05,-0.01,0.03,
1.106,-0.06,0.05,-0.11,-0.05,-0.01,0.03,
1.107,-0.09,0.06,-0.15,-0.05,-0.01,0.03,
1.107,-0.09,0.06,-0.15,-0.05,-0.01,0.03,
1.107,-0.09,0.02,-0.14,-0.05,-0.01,0.03,
1.108,-0.09,0.02,-0.14,-0.05,-0.01,0.03,
1.108,-0.07,0.01,-0.13,-0.05,-0.01,0.03,
1.108,-0.07,0.01,-0.13,-0.05,-0.01,0.03,
1.109,-0.07,0.01,-0.13,-0.05,-0.01,0.03,
1.109,-0.07,0.01,-0.15,-0.05,-0.01,0.03,
1.11,-0.07,0.01,-0.15,-0.06,-0.00,0.03,
1.11,-0.03,-0.01,-0.11,-0.06,-0.00,0.03,
1.11,-0.03,-0.01,-0.11,-0.06,-0.01,0.03,
1.111,0.05,-0.02,-0.10,-0.06,-0.01,0.03,
1.111,0.07,0.02,-0.10,-0.06,-0.01,0.03,
1.112,0.07,0.02,-0.10,-0.06,-0.00,0.03,
1.112,0.07,0.02,-0.10,-0.06,0.01,0.03,
1.112,0.11,-0.02,-0.08,-0.06,0.01,0.03,
1.113,0.14,-0.02,-0.06,-0.06,0.01,0.03,
1.113,0.14,-0.02,-0.06,-0.06,0.02,0.02,
1.113,0.14,-0.02,-0.06,-0.07,0.03,0.02,
1.114,0.11,-0.03,-0.04,-0.07,0.03,0.02,
1.114,0.00,-0.01,-0.03,-0.07,0.03,0.02,
1.114,0.00,-0.01,-0.03,-0.06,0.03,0.01,
1.115,-0.03,0.01,-0.05,-0.06,0.03,0.01,
1.115,-0.03,0.01,-0.05,-0.06,0.04,0.01,
1.115,-0.04,0.01,-0.04,-0.06,0.04,0.01,
1.116,-0.04,0.01,-0.04,-0.06,0.05,0.01,
1.116,-0.04,0.01,-0.04,-0.06,0.05,0.01,
1.116,-0.07,0.03,-0.04,-0.06,0.05,0.01,
1.117,-0.07,0.03,-0.04,-0.06,0.04,0.01,
1.117,-0.08,0.03,-0.03,-0.06,0.04,0.01,
1.117,-0.06,0.03,-0.01,-0.06,0.04,0.01,
1.118,-0.06,0.03,-0.01,-0.05,0.04,0.02,
1.118,0.02,0.00,0.01,-0.05,0.04,0.02,
1.118,0.02,0.00,0.01,-0.04,0.02,0.02,
1.119,0.02,0.00,0.01,-0.04,0.01,0.02,
1.119,0.11,0.00,0.03,-0.04,0.01,0.02,
