time,gFx,gFy,gFz,TgF
1.012000,0.8747,-0.3401,1.7410,1.978
1.012000,0.7048,-0.3259,1.7198,1.887
1.013000,0.5390,-0.3171,1.7051,1.816
1.015000,0.3866,-0.3071,1.6995,1.770
1.024000,0.2555,-0.2876,1.6885,1.732
1.025000,0.1469,-0.2575,1.6609,1.687
1.028000,0.0658,-0.2187,1.6202,1.636
1.036000,0.0004,-0.1731,1.5530,1.563
1.041000,-0.0424,-0.1264,1.4676,1.474
1.043000,-0.0612,-0.0661,1.3613,1.364
1.048000,-0.0629,-0.0019,1.2505,1.252
1.052000,-0.0548,0.0577,1.1492,1.152
1.058000,-0.0494,0.1231,1.0534,1.062
1.062000,-0.0436,0.1851,0.9812,0.999
1.067000,-0.0223,0.2366,0.9331,0.963
1.072000,0.0011,0.2689,0.9043,0.943
1.077000,0.0309,0.2691,0.9001,0.940
1.083000,0.0617,0.2513,0.9216,0.957
1.087000,0.0775,0.2305,0.9675,0.998
1.092000,0.0765,0.2064,1.0513,1.074
1.097000,0.0721,0.1856,1.1426,1.160
1.107000,0.0389,0.1612,1.2405,1.252
1.108000,0.0035,0.1287,1.3447,1.351
1.113000,-0.0209,0.0904,1.4502,1.453
1.140000,-0.0441,0.0596,1.5266,1.528
1.141000,-0.0753,0.0442,1.5662,1.569
1.141000,-0.0753,0.0550,1.5808,1.584
1.141000,-0.0111,0.0709,1.5774,1.579
1.141000,0.0910,0.0806,1.5779,1.583
1.142000,0.2045,0.0865,1.5852,1.601
1.150000,0.3310,0.0862,1.5979,1.634
1.152000,0.4626,0.0887,1.6079,1.676
1.155000,0.5864,0.1011,1.6048,1.712
1.160000,0.7126,0.1185,1.6075,1.762
1.165000,0.8405,0.1326,1.6346,1.843
1.170000,0.9621,0.1351,1.7012,1.959
1.175000,1.0637,0.1336,1.7813,2.079
1.180000,1.1211,0.1299,1.8729,2.187
1.186000,1.1304,0.1285,1.9522,2.260
1.191000,1.0964,0.1241,2.0130,2.296
1.196000,1.0600,0.1199,2.0724,2.331
1.199000,1.0158,0.1229,2.1126,2.347
1.207000,0.9721,0.1380,2.1239,2.340
1.211000,0.9328,0.1729,2.0982,2.303
1.214000,0.9072,0.2174,2.0272,2.232
1.225000,0.8813,0.2471,1.9398,2.145
1.226000,0.8723,0.2743,1.8289,2.045
1.232000,0.8950,0.3109,1.7134,1.958
1.258000,0.9570,0.3670,1.5808,1.884
1.259000,1.0488,0.4225,1.4031,1.802
1.259000,1.1643,0.4710,1.2126,1.746
1.259000,1.2649,0.5150,1.0156,1.702
1.259000,1.3291,0.5550,0.8256,1.660
1.260000,1.3460,0.5912,0.6530,1.609
1.268000,1.3308,0.6273,0.5046,1.555
1.268000,1.2927,0.6691,0.3713,1.502
