time,gFx,gFy,gFz,TgF
1.461000,1.2735,-3.9711,1.1902,4.337
1.462000,1.0718,-3.9353,1.2114,4.255
1.467000,0.8999,-3.9306,1.2661,4.226
1.472000,0.7696,-3.9536,1.3360,4.244
1.478000,0.7820,-4.0129,1.3765,4.314
1.482000,0.8252,-4.0976,1.3247,4.385
1.486000,0.7478,-4.1914,1.2473,4.437
1.492000,0.5552,-4.2737,1.1475,4.460
1.497000,0.3093,-4.3596,1.0190,4.488
1.501000,0.0424,-4.4653,0.8469,4.545
1.506000,-0.2076,-4.6031,0.6157,4.649
1.511000,-0.4691,-4.7452,0.3857,4.784
1.516000,-0.7321,-4.8353,0.2252,4.896
1.521000,-1.0002,-4.8533,0.1903,4.959
1.526000,-1.2626,-4.8135,0.2992,4.985
1.531000,-1.2809,-4.5899,0.7700,4.827
1.536000,-1.4648,-5.0057,0.5283,5.242
1.540000,-1.7243,-5.1419,0.6682,5.464
1.545000,-1.7627,-5.0684,1.1340,5.485
1.550000,-1.8523,-4.9664,1.5589,5.525
1.555000,-1.9382,-4.9009,1.9466,5.618
1.565000,-2.0393,-5.0780,1.9495,5.809
1.567000,-2.3201,-5.1895,1.8509,5.978
1.570000,-2.3968,-5.1273,1.8485,5.954
1.575000,-2.4039,-5.0291,1.7545,5.844
1.596000,-2.4974,-5.0565,1.4551,5.824
1.597000,-2.6099,-5.1446,1.0408,5.862
1.598000,-2.6971,-5.1524,0.5869,5.845
1.599000,-2.7132,-5.1212,0.1173,5.797
1.599000,-2.6138,-5.1261,-0.3026,5.762
1.604000,-2.3917,-5.1424,-0.6249,5.706
1.610000,-2.0161,-5.1524,-0.8440,5.597
1.614000,-1.5192,-5.1702,-0.9199,5.467
1.619000,-0.9879,-5.2108,-0.8818,5.376
1.624000,-0.4869,-5.2730,-0.7626,5.350
1.628000,-0.0425,-5.3692,-0.5549,5.398
1.634000,0.3652,-5.5030,-0.2833,5.522
1.638000,0.7857,-5.6669,-0.0067,5.721
1.645000,1.2699,-5.8439,0.2328,5.985
1.649000,1.8253,-6.0014,0.4338,6.288
1.653000,2.4338,-6.1227,0.5715,6.613
1.659000,2.9544,-6.2172,0.6293,6.912
1.664000,3.3675,-6.3010,0.5517,7.166
1.667000,3.8329,-6.3725,0.3036,7.443
1.673000,4.5409,-6.4126,-0.0553,7.858
1.679000,5.5120,-6.4016,-0.3896,8.457
1.682000,6.6286,-6.2973,-0.5092,9.157
1.687000,7.6685,-6.1635,-0.3441,9.844
1.691000,7.9939,-6.0151,0.0433,10.004
1.701000,7.9939,-5.8656,0.6359,9.935
1.702000,7.9939,-5.5892,1.3809,9.851
1.706000,7.9939,-5.0640,2.0033,9.673
1.726000,7.9939,-4.4373,2.0787,9.376
1.727000,7.9939,-3.8820,1.6424,9.037
1.728000,7.9939,-3.4193,1.0383,8.756
1.728000,7.9939,-3.0934,0.4174,8.582
1.748000,7.9939,-2.9435,-0.0502,8.519
1.749000,7.9939,-2.8831,-0.1535,8.499
1.750000,7.9939,-2.7760,0.1977,8.465
